#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA28BE
#Date Time: 2023-05-24 14:52:32.539
#Sample rate: 17809.4Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 800 mV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
0.01817299816224094,-0.05828123877958235,-1.320649962004811
0.018229148162240937,-0.054583013926998554,-1.3169426110237734
0.01828529816224094,-0.05828123877958235,-1.320649962004811
0.01834144816224094,-0.054583013926998554,-1.320649962004811
0.018397598162240937,-0.05828123877958235,-1.3169426110237734
0.01845374816224094,-0.05828123877958235,-1.3169426110237734
0.01850989816224094,-0.06197946363216615,-1.3169426110237734
0.018566048162240938,-0.06197946363216615,-1.320649962004811
0.01862219816224094,-0.06197946363216615,-1.320649962004811
0.01867834816224094,-0.06197946363216615,-1.320649962004811
0.018734498162240938,-0.06197946363216615,-1.320649962004811
0.01879064816224094,-0.06197946363216615,-1.3169426110237734
0.01884679816224094,-0.06197946363216615,-1.320649962004811
0.01890294816224094,-0.06197946363216615,-1.3169426110237734
0.018959098162240937,-0.06197946363216615,-1.3169426110237734
0.01901524816224094,-0.06197946363216615,-1.3169426110237734
0.01907139816224094,-0.06197946363216615,-1.3169426110237734
0.019127548162240937,-0.06197946363216615,-1.3169426110237734
0.01918369816224094,-0.06197946363216615,-1.3169426110237734
0.01923984816224094,-0.06197946363216615,-1.320649962004811
0.019295998162240938,-0.06197946363216615,-1.320649962004811
0.01935214816224094,-0.06197946363216615,-1.3169426110237734
0.01940829816224094,-0.06197946363216615,-1.3169426110237734
0.019464448162240938,-0.06197946363216615,-1.3169426110237734
0.01952059816224094,-0.06197946363216615,-1.3169426110237734
0.01957674816224094,-0.06197946363216615,-1.3169426110237734
0.01963289816224094,-0.06197946363216615,-1.3169426110237734
