#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA28BE
#Date Time: 2023-05-24 14:52:44.036
#Sample rate: 17809.4Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 800 mV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-0.1856987314612617,-0.07677236304250135,-1.3169426110237734
-0.1856425814612617,-0.07677236304250135,-1.3169426110237734
-0.1855864314612617,-0.07677236304250135,-1.3169426110237734
-0.18553028146126171,-0.07677236304250135,-1.3169426110237734
-0.1854741314612617,-0.07677236304250135,-1.3169426110237734
-0.1854179814612617,-0.07677236304250135,-1.3169426110237734
-0.1853618314612617,-0.07677236304250135,-1.3169426110237734
-0.1853056814612617,-0.07677236304250135,-1.3169426110237734
-0.1852495314612617,-0.07677236304250135,-1.3169426110237734
-0.1851933814612617,-0.07677236304250135,-1.3169426110237734
-0.1851372314612617,-0.08047058789508515,-1.3169426110237734
-0.1850810814612617,-0.07677236304250135,-1.3169426110237734
-0.1850249314612617,-0.07677236304250135,-1.3169426110237734
-0.1849687814612617,-0.08047058789508515,-1.3169426110237734
-0.1849126314612617,-0.08047058789508515,-1.3169426110237734
-0.1848564814612617,-0.08047058789508515,-1.3169426110237734
-0.1848003314612617,-0.08047058789508515,-1.3169426110237734
-0.1847441814612617,-0.08047058789508515,-1.3169426110237734
-0.1846880314612617,-0.08047058789508515,-1.3169426110237734
-0.1846318814612617,-0.08047058789508515,-1.3169426110237734
-0.1845757314612617,-0.08047058789508515,-1.3169426110237734
-0.1845195814612617,-0.08047058789508515,-1.3169426110237734
-0.1844634314612617,-0.07677236304250135,-1.3169426110237734
-0.1844072814612617,-0.07677236304250135,-1.3169426110237734
-0.1843511314612617,-0.07677236304250135,-1.3169426110237734
-0.1842949814612617,-0.07677236304250135,-1.3169426110237734
-0.18423883146126172,-0.07677236304250135,-1.3169426110237734
-0.1841826814612617,-0.07677236304250135,-1.3169426110237734
-0.1841265314612617,-0.07677236304250135,-1.3169426110237734
-0.1840703814612617,-0.07677236304250135,-1.3169426110237734
-0.1840142314612617,-0.07677236304250135,-1.3169426110237734
-0.1839580814612617,-0.07677236304250135,-1.3169426110237734
-0.18390193146126171,-0.07677236304250135,-1.3169426110237734
-0.1838457814612617,-0.07677236304250135,-1.3169426110237734
-0.1837896314612617,-0.07307413818991755,-1.3169426110237734
-0.1837334814612617,-0.07307413818991755,-1.3169426110237734
-0.1836773314612617,-0.07307413818991755,-1.320649962004811
-0.1836211814612617,-0.07307413818991755,-1.320649962004811
